first_name,last_name,nickname,record,age,height,weight,weight_class,debut,arm_reach,leg_reach,born_town,academy,fighter_style,wins_by_ko,wins_by_first_round_ko,sig_striking_landed,sig_striking_throw,takedowns_attempted,takedowns_landed,takedowns_avg,sig_striking_landed_min,avg_knockdown_fight,striking_defence,knockdown_avg,sig_striking_recieved_min,sub_avg_per_fight,takedown_defence,avg_fight_time,sig_striking_landed_by_pos,wins_by_method,sig_striking_by_target
Vinc,Pichel,"""From Hell""",14-3-0 (W-L-D),40,70.00,155.50,Lightweight,"Dec. 16, 2012",72.00,40.50,"Lancaster, Estados Unidos",Factory X,Freestyle,8,8,427,906,44,17,55%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(57%)', 'number': '245'}}, {'name': 'Clinch', 'value': {'percentage': '(23%)', 'number': '99'}}, {'name': 'Suelo', 'value': {'percentage': '(19%)', 'number': '83'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(57%)', 'number': '8'}}, {'name': 'DEC', 'value': {'percentage': '(43%)', 'number': '6'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '47%', 'value': '201'}, 'body': {'percentage': '24%', 'value': '103'}, 'legs': {'percentage': '29%', 'value': '123'}}"
Jamie,Pickett,"""The Night Wolf""",13-9-0 (W-L-D),34,74.00,205.00,Middleweight,"Jul. 11, 2017",82.00,45.00,"Jacksonville, Estados Unidos",The HitPit Martial Arts,Freestyle,9,5,282,554,22,5,36%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(84%)', 'number': '236'}}, {'name': 'Clinch', 'value': {'percentage': '(16%)', 'number': '46'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(69%)', 'number': '9'}}, {'name': 'DEC', 'value': {'percentage': '(31%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '60%', 'value': '169'}, 'body': {'percentage': '30%', 'value': '85'}, 'legs': {'percentage': '10%', 'value': '28'}}"
Paddy,Pimblett,"""The Baddy""",20-3-0 (W-L-D),28,70.00,156.00,Lightweight,"Sep. 04, 2021",73.00,40.00,"Liverpool, Reino Unido",NEXT Generation MMA,Jiu-Jitsu,6,6,130,281,8,,25%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(82%)', 'number': '106'}}, {'name': 'Clinch', 'value': {'percentage': '(13%)', 'number': '17'}}, {'name': 'Suelo', 'value': {'percentage': '(5%)', 'number': '7'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(30%)', 'number': '6'}}, {'name': 'DEC', 'value': {'percentage': '(25%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(45%)', 'number': '9'}}]}","{'head': {'percentage': '59%', 'value': '77'}, 'body': {'percentage': '17%', 'value': '22'}, 'legs': {'percentage': '24%', 'value': '31'}}"
Daniel,Pineda,"""The Pit""",27-14-0 (W-L-D),37,67.00,145.00,Featherweight,"Jan. 21, 2012",69.00,38.00,"Dallas, Estados Unidos",4oz Fight Club,Freestyle,9,18,247,505,31,7,23%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(54%)', 'number': '133'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '16'}}, {'name': 'Suelo', 'value': {'percentage': '(40%)', 'number': '98'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(33%)', 'number': '9'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(67%)', 'number': '18'}}]}","{'head': {'percentage': '71%', 'value': '175'}, 'body': {'percentage': '15%', 'value': '37'}, 'legs': {'percentage': '14%', 'value': '35'}}"
Luana,Pinheiro,,10-1-0 (W-L-D),30,62.50,116.00,Women's Strawweight,"Mar. 27, 2021",62.50,38.00,"João Pessoa, Brasil",,Judo,8,2,99,237,9,7,78%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(79%)', 'number': '78'}}, {'name': 'Clinch', 'value': {'percentage': '(9%)', 'number': '9'}}, {'name': 'Suelo', 'value': {'percentage': '(12%)', 'number': '12'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(22%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(22%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(56%)', 'number': '5'}}]}","{'head': {'percentage': '70%', 'value': '69'}, 'body': {'percentage': '19%', 'value': '19'}, 'legs': {'percentage': '11%', 'value': '11'}}"
Jamal,Pogues,,10-3-0 (W-L-D),27,75.00,249.50,Heavyweight,"Feb. 18, 2023",77.00,43.00,"Los Angeles, Estados Unidos",Syndicate MMA,Boxing,4,1,151,306,24,5,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(74%)', 'number': '112'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '17'}}, {'name': 'Suelo', 'value': {'percentage': '(15%)', 'number': '22'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(40%)', 'number': '4'}}, {'name': 'DEC', 'value': {'percentage': '(50%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(10%)', 'number': '1'}}]}","{'head': {'percentage': '90%', 'value': '136'}, 'body': {'percentage': '7%', 'value': '11'}, 'legs': {'percentage': '3%', 'value': '4'}}"
Dustin,Poirier,"""The Diamond""",29-7-0 (W-L-D),34,69.00,156.00,Lightweight,"Jan. 02, 2011",72.00,40.50,"Lafayette, Estados Unidos","American Top Team ATT Coconut Creek, FL",Jiu-Jitsu,15,6,1669,3280,76,24,37%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(75%)', 'number': '1252'}}, {'name': 'Clinch', 'value': {'percentage': '(15%)', 'number': '253'}}, {'name': 'Suelo', 'value': {'percentage': '(10%)', 'number': '164'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(54%)', 'number': '15'}}, {'name': 'DEC', 'value': {'percentage': '(25%)', 'number': '7'}}, {'name': 'SUB', 'value': {'percentage': '(21%)', 'number': '6'}}]}","{'head': {'percentage': '80%', 'value': '1338'}, 'body': {'percentage': '9%', 'value': '155'}, 'legs': {'percentage': '11%', 'value': '176'}}"
Julia,Polastri,,0-1-0 (W-L-D),24,62.00,125.00,Women's Flyweight,"Mar. 07, 2023",63.50,35.00,,,,0,0,65,132,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(92%)', 'number': '60'}}, {'name': 'Clinch', 'value': {'percentage': '(5%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(3%)', 'number': '2'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '77%', 'value': '50'}, 'body': {'percentage': '15%', 'value': '10'}, 'legs': {'percentage': '8%', 'value': '5'}}"
Santiago,Ponzinibbio,"""Argentine Dagger""",30-6-0 (W-L-D),36,72.00,179.50,Welterweight,"Nov. 09, 2013",73.00,40.50,Argentina,"American Top Team ATT Coconut Creek, FL",Striker,16,6,873,2098,20,4,30%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(94%)', 'number': '824'}}, {'name': 'Clinch', 'value': {'percentage': '(2%)', 'number': '19'}}, {'name': 'Suelo', 'value': {'percentage': '(3%)', 'number': '30'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(53%)', 'number': '16'}}, {'name': 'DEC', 'value': {'percentage': '(27%)', 'number': '8'}}, {'name': 'SUB', 'value': {'percentage': '(20%)', 'number': '6'}}]}","{'head': {'percentage': '73%', 'value': '634'}, 'body': {'percentage': '13%', 'value': '110'}, 'legs': {'percentage': '15%', 'value': '129'}}"
Alexander,Poppeck,,0-0-0 (W-L-D),30,,204.00,Light Heavyweight,"Mar. 07, 2023",,,,,,0,0,38,66,4,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(89%)', 'number': '34'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '4'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '45%', 'value': '17'}, 'body': {'percentage': '16%', 'value': '6'}, 'legs': {'percentage': '39%', 'value': '15'}}"
Parker,Porter,,13-8-0 (W-L-D),37,72.00,264.00,Heavyweight,"Aug. 15, 2020",75.00,41.00,"Hartford, Estados Unidos",,MMA,5,3,409,822,21,5,29%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '360'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '44'}}, {'name': 'Suelo', 'value': {'percentage': '(1%)', 'number': '5'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(38%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(38%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(23%)', 'number': '3'}}]}","{'head': {'percentage': '74%', 'value': '302'}, 'body': {'percentage': '10%', 'value': '41'}, 'legs': {'percentage': '16%', 'value': '66'}}"
Ihor,Potieria,"""The Duelist""",20-3-0 (W-L-D),26,75.00,205.00,Light Heavyweight,"Jul. 30, 2022",75.00,44.00,"Kyiv, Ucrania",,MMA,10,6,77,136,3,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(71%)', 'number': '55'}}, {'name': 'Clinch', 'value': {'percentage': '(22%)', 'number': '17'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '5'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(50%)', 'number': '10'}}, {'name': 'DEC', 'value': {'percentage': '(20%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(30%)', 'number': '6'}}]}","{'head': {'percentage': '70%', 'value': '54'}, 'body': {'percentage': '12%', 'value': '9'}, 'legs': {'percentage': '18%', 'value': '14'}}"
Dylan,Potter,,0-1-0 (W-L-D),28,74.00,232.50,Heavyweight,"Mar. 07, 2023",77.00,43.00,"Olympia, Estados Unidos",,,0,0,43,89,1,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(93%)', 'number': '40'}}, {'name': 'Clinch', 'value': {'percentage': '(7%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '58%', 'value': '25'}, 'body': {'percentage': '28%', 'value': '12'}, 'legs': {'percentage': '14%', 'value': '6'}}"
Marcin,Prachnio,,16-6-0 (W-L-D),34,75.00,205.00,Light Heavyweight,"Feb. 24, 2018",74.00,42.00,"Warsaw, Polonia",Tatsujin MMA,Karate,11,11,346,635,3,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '305'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '40'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(73%)', 'number': '11'}}, {'name': 'DEC', 'value': {'percentage': '(20%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(7%)', 'number': '1'}}]}","{'head': {'percentage': '24%', 'value': '83'}, 'body': {'percentage': '30%', 'value': '103'}, 'legs': {'percentage': '46%', 'value': '160'}}"
Francisco,Prado,,11-1-0 (W-L-D),20,70.00,154.50,Lightweight,"Feb. 11, 2023",69.00,37.98,"San Lorenzo , Argentina",,,5,6,28,75,2,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(100%)', 'number': '28'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(45%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(55%)', 'number': '6'}}]}","{'head': {'percentage': '64%', 'value': '18'}, 'body': {'percentage': '14%', 'value': '4'}, 'legs': {'percentage': '21%', 'value': '6'}}"
Ricardo,Prasel,"""Alemao""",9-2-0 (W-L-D),32,79.00,239.00,Heavyweight,"Mar. 07, 2023",,,"State of Paraná, Brasil",,Jiu-Jitsu,0,0,11,19,4,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(82%)', 'number': '9'}}, {'name': 'Clinch', 'value': {'percentage': '(18%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '9%', 'value': '1'}, 'body': {'percentage': '9%', 'value': '1'}, 'legs': {'percentage': '82%', 'value': '9'}}"
Niko,Price,"""The Hybrid""",15-6-0 (W-L-D),33,72.00,170.00,Welterweight,"Dec. 31, 2016",76.00,42.50,"Cape Coral, Estados Unidos",Team Price,Freestyle,10,3,700,1639,29,4,21%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(79%)', 'number': '552'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '75'}}, {'name': 'Suelo', 'value': {'percentage': '(10%)', 'number': '73'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(67%)', 'number': '10'}}, {'name': 'DEC', 'value': {'percentage': '(13%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(20%)', 'number': '3'}}]}","{'head': {'percentage': '59%', 'value': '416'}, 'body': {'percentage': '16%', 'value': '110'}, 'legs': {'percentage': '25%', 'value': '174'}}"
Jiří,Procházka,,29-3-1 (W-L-D),30,75.00,205.00,Light Heavyweight,"Jul. 11, 2020",80.00,45.00,"Hostěradice, Chequia",JETSAAM GYM,Muay Thai,13,25,230,414,1,1,100%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(78%)', 'number': '179'}}, {'name': 'Clinch', 'value': {'percentage': '(4%)', 'number': '9'}}, {'name': 'Suelo', 'value': {'percentage': '(18%)', 'number': '42'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(86%)', 'number': '25'}}, {'name': 'DEC', 'value': {'percentage': '(3%)', 'number': '1'}}, {'name': 'SUB', 'value': {'percentage': '(10%)', 'number': '3'}}]}","{'head': {'percentage': '85%', 'value': '196'}, 'body': {'percentage': '13%', 'value': '31'}, 'legs': {'percentage': '1%', 'value': '3'}}"
Andrew,Provost,,0-0-0 (W-L-D),35,,,Welterweight,"Mar. 07, 2023",,,"Plattsburgh, Estados Unidos",,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Lucie,Pudilova,,9-6-0 (W-L-D),28,68.00,135.50,Women's Bantamweight,"Mar. 18, 2017",67.50,42.00,"Pribram, Chequia",SBG Ireland,MMA,3,2,439,1181,11,,27%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(71%)', 'number': '313'}}, {'name': 'Clinch', 'value': {'percentage': '(15%)', 'number': '65'}}, {'name': 'Suelo', 'value': {'percentage': '(14%)', 'number': '61'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(33%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(44%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(22%)', 'number': '2'}}]}","{'head': {'percentage': '77%', 'value': '337'}, 'body': {'percentage': '13%', 'value': '57'}, 'legs': {'percentage': '10%', 'value': '45'}}"
Claudio,Puelles,"""Prince of Peru""",13-3-0 (W-L-D),26,70.00,155.20,Lightweight,"Nov. 06, 2016",72.00,40.00,Perú,Sanford MMA,Muay Thai,7,3,136,273,39,,31%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(52%)', 'number': '71'}}, {'name': 'Clinch', 'value': {'percentage': '(5%)', 'number': '7'}}, {'name': 'Suelo', 'value': {'percentage': '(43%)', 'number': '58'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(15%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(31%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(54%)', 'number': '7'}}]}","{'head': {'percentage': '63%', 'value': '85'}, 'body': {'percentage': '31%', 'value': '42'}, 'legs': {'percentage': '7%', 'value': '9'}}"
Juan,Puerta,,1-0-0 (W-L-D),35,69.00,125.00,Flyweight,"Mar. 07, 2023",71.00,39.00,"Mt Kisco, Estados Unidos",,,0,0,19,48,1,,100%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(42%)', 'number': '8'}}, {'name': 'Clinch', 'value': {'percentage': '(16%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(42%)', 'number': '8'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '84%', 'value': '16'}, 'body': {'percentage': '5%', 'value': '1'}, 'legs': {'percentage': '11%', 'value': '2'}}"
Joe,Pyfer,"""Bodybagz""",9-2-0 (W-L-D),26,74.00,185.00,Middleweight,"Sep. 17, 2022",75.00,41.00,"Vineland, Estados Unidos",,Boxing,7,2,52,117,2,,100%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '46'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(12%)', 'number': '6'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(70%)', 'number': '7'}}, {'name': 'DEC', 'value': {'percentage': '(10%)', 'number': '1'}}, {'name': 'SUB', 'value': {'percentage': '(20%)', 'number': '2'}}]}","{'head': {'percentage': '71%', 'value': '37'}, 'body': {'percentage': '12%', 'value': '6'}, 'legs': {'percentage': '17%', 'value': '9'}}"
Billy,Quarantillo,,17-4-0 (W-L-D),34,70.00,146.00,Featherweight,"Dec. 07, 2019",70.00,38.00,"Buffalo, Estados Unidos",,MMA,8,5,764,1297,41,1,24%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(64%)', 'number': '487'}}, {'name': 'Clinch', 'value': {'percentage': '(18%)', 'number': '134'}}, {'name': 'Suelo', 'value': {'percentage': '(19%)', 'number': '143'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(47%)', 'number': '8'}}, {'name': 'DEC', 'value': {'percentage': '(24%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(29%)', 'number': '5'}}]}","{'head': {'percentage': '72%', 'value': '549'}, 'body': {'percentage': '21%', 'value': '163'}, 'legs': {'percentage': '7%', 'value': '52'}}"
Josh,Quinlan,"""Bushido""",6-0-0 (W-L-D),30,72.00,175.00,Welterweight,"Aug. 06, 2022",72.00,39.00,Estados Unidos,,Brazilian Jiu-Jitsu,4,2,16,30,30,16,53%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(75%)', 'number': '12'}}, {'name': 'Clinch', 'value': {'percentage': '(19%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(67%)', 'number': '4'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(33%)', 'number': '2'}}]}","{'head': {'percentage': '88%', 'value': '14'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '13%', 'value': '2'}}"
Landon,Quinones,,0-0-0 (W-L-D),27,,,Lightweight,"Mar. 07, 2023",,,,,,0,0,0,0,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Isaih,Quinones,"""Pretty Boy""",0-0-0 (W-L-D),31,,,Light Heavyweight,"Mar. 07, 2023",,,,,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Cristian,Quiñonez,"""Problema""",18-3-0 (W-L-D),26,68.00,136.00,Bantamweight,"Sep. 03, 2022",70.00,40.00,"Tlaltenango, México",,Jiu-Jitsu,10,3,95,228,1,,100%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(89%)', 'number': '85'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '6'}}, {'name': 'Suelo', 'value': {'percentage': '(4%)', 'number': '4'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(56%)', 'number': '10'}}, {'name': 'DEC', 'value': {'percentage': '(28%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(17%)', 'number': '3'}}]}","{'head': {'percentage': '80%', 'value': '76'}, 'body': {'percentage': '3%', 'value': '3'}, 'legs': {'percentage': '17%', 'value': '16'}}"
Loik,Radzhabov,"""Jaguar Paw """,16-4-1 (W-L-D),32,71.00,172.60,Lightweight,"Mar. 04, 2023",69.00,39.00,Tayikistán,Sanford MMA,Boxing,0,0,40,85,21,,52%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(93%)', 'number': '37'}}, {'name': 'Clinch', 'value': {'percentage': '(3%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(5%)', 'number': '2'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '83%', 'value': '33'}, 'body': {'percentage': '15%', 'value': '6'}, 'legs': {'percentage': '3%', 'value': '1'}}"
Shavkat,Rakhmonov,"""Nomad""",17-0-0 (W-L-D),28,73.00,186.80,Welterweight,"Mar. 21, 2020",77.00,42.00,Uzbekistán,Sanford MMA,Sambo,8,9,179,303,12,2,33%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(60%)', 'number': '108'}}, {'name': 'Clinch', 'value': {'percentage': '(26%)', 'number': '46'}}, {'name': 'Suelo', 'value': {'percentage': '(14%)', 'number': '25'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(47%)', 'number': '8'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(53%)', 'number': '9'}}]}","{'head': {'percentage': '65%', 'value': '117'}, 'body': {'percentage': '30%', 'value': '54'}, 'legs': {'percentage': '4%', 'value': '8'}}"
Aleksandar,Rakić,"""Rocket""",14-3-0 (W-L-D),31,76.00,205.00,Light Heavyweight,"Sep. 02, 2017",78.00,46.00,"Vienna, Austria",American Top Team Zagreb,Freestyle,9,1,365,724,20,3,25%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(57%)', 'number': '209'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '41'}}, {'name': 'Suelo', 'value': {'percentage': '(32%)', 'number': '115'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(69%)', 'number': '9'}}, {'name': 'DEC', 'value': {'percentage': '(23%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(8%)', 'number': '1'}}]}","{'head': {'percentage': '58%', 'value': '210'}, 'body': {'percentage': '17%', 'value': '63'}, 'legs': {'percentage': '25%', 'value': '92'}}"
Ricardo,Ramos,,16-4-0 (W-L-D),27,69.00,146.00,Featherweight,"Feb. 04, 2017",72.00,40.00,"Campinas, Brasil",Team Alpha Male,Jiu-Jitsu,3,7,328,859,29,4,59%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(85%)', 'number': '278'}}, {'name': 'Clinch', 'value': {'percentage': '(8%)', 'number': '26'}}, {'name': 'Suelo', 'value': {'percentage': '(7%)', 'number': '24'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(20%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(33%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(47%)', 'number': '7'}}]}","{'head': {'percentage': '64%', 'value': '209'}, 'body': {'percentage': '19%', 'value': '63'}, 'legs': {'percentage': '17%', 'value': '56'}}"
