first_name,last_name,nickname,weight_class,record,uri
Aaron,Jeffery,,Middleweight,6-2-0 (W-L-D),/athlete/aaron-jeffery
Jack,Jenkins,"""Phar""",Featherweight,11-2-0 (W-L-D),/athlete/jack-jenkins
Asikeerbai,Jinensibieke,,Lightweight,0-0-0 (W-L-D),/athlete/asikeerbai-jinensibieke
Asikerbai,Jinensibieke,,Lightweight,0-0-0 (W-L-D),/athlete/asikerbai-jinensibieke
Li,Jingliang,"""The Leech""",Welterweight,19-8-0 (W-L-D),/athlete/li-jingliang
Miles,Johns,"""Chapo""",Bantamweight,13-2-0 (W-L-D),/athlete/miles-johns
Taylor,Johnson,,Middleweight,0-0-0 (W-L-D),/athlete/taylor-johnson
Chad,Johnson,,Heavyweight,6-2-0 (W-L-D),/athlete/chad-johnson
Tony,Johnson,,Light Heavyweight,7-2-0 (W-L-D),/athlete/tony-johnson
Michael,Johnson,"""The Menace""",Lightweight,22-18-0 (W-L-D),/athlete/michael-johnson
Charles,Johnson,"""Inner G""",Flyweight,13-4-0 (W-L-D),/athlete/charles-johnson
Jose,Johnson,"""Lobo Solitario""",Bantamweight,15-7-0 (W-L-D),/athlete/jose-johnson
Daniel,Jolly,"""Werewolf of Texas""",Light Heavyweight,5-3-0 (W-L-D),/athlete/daniel-jolly
Jamelle,Jones,"""The Beast""",Light Heavyweight,7-5-0 (W-L-D),/athlete/jamelle-jones
Justin,Jones,,Middleweight,9-2-0 (W-L-D),/athlete/dzhastin-dzhaynes-0
Antonio,Jones,,Middleweight,7-0-0 (W-L-D),/athlete/antonio-jones
Trevin,Jones,"""5 Star""",Bantamweight,13-10-0 (W-L-D),/athlete/trevin-jones
Jon,Jones,"""Bones""",Heavyweight,27-1-0 (W-L-D),/athlete/jon-jones
Dwight,Joseph,,Bantamweight,0-0-0 (W-L-D),/athlete/dwight-joseph
Charles,Jourdain,"""Air""",Featherweight,13-6-1 (W-L-D),/athlete/charles-jourdain
Dustin,Joynson,,Heavyweight,0-0-0 (W-L-D),/athlete/dustin-joynson
Anshul,Jubli,"""King of Lions""",Lightweight,7-0-0 (W-L-D),/athlete/anshul-jubli
Da,Woon,"""Sseda""",Light Heavyweight,15-4-1 (W-L-D),/athlete/da-un-jung
Chan,Sung,"""The Korean Zombie""",Featherweight,17-7-0 (W-L-D),/athlete/chan-sung-jung
Oron,Kahlon,,Bantamweight,0-1-0 (W-L-D),/athlete/trevin-dzhayls-1
Lu,Kai,,Featherweight,1-1-0 (W-L-D),/athlete/lu-kai
Kyung,Ho,"""Mr. Perfect""",Bantamweight,18-9-0 (W-L-D),/athlete/kyung-ho-kang
Manel,Kape,"""StarBoy""",Flyweight,18-6-0 (W-L-D),/athlete/manel-kape
Jinnosuke,Kashimura,,Lightweight,0-1-0 (W-L-D),/athlete/jinnosuke-kashimura
Calvin,Kattar,,Featherweight,23-7-0 (W-L-D),/athlete/calvin-kattar
Canaan,Kawaihae,,Featherweight,4-2-0 (W-L-D),/athlete/canaan-kawaihae
Toshiomi,Kazama,,Bantamweight,10-3-0 (W-L-D),/athlete/toshiomi-kazama
Brian,Kelleher,"""Boom""",Bantamweight,24-14-0 (W-L-D),/athlete/brian-kelleher
Mayana,Kellem,,Women's Bantamweight,0-0-0 (W-L-D),/athlete/mayana-kellem
Song,Kenan,"""The Assassin""",Welterweight,19-7-0 (W-L-D),/athlete/song-kenan
Casey,Kenney,,Bantamweight,16-4-1 (W-L-D),/athlete/casey-kenney
Maimaitituoheti,Keremuaili,,Bantamweight,0-1-0 (W-L-D),/athlete/guram-kutateladze-0
Alfred,Khashakyan,,Bantamweight,8-4-0 (W-L-D),/athlete/alfred-khashakyan
Aliaskhab,Khizriev,"""Black Wolf""",Middleweight,14-0-0 (W-L-D),/athlete/khorkhe-gonzalez-0
WonBin,Ki,,Lightweight,1-1-0 (W-L-D),/athlete/wonbin-ki
Pannie,Kianzad,"""Banzai""",Women's Bantamweight,17-6-0 (W-L-D),/athlete/pannie-kianzad
HanSeul,Kim,,Welterweight,1-0-0 (W-L-D),/athlete/hanseul-kim
MinWoo,Kim,,Bantamweight,0-0-0 (W-L-D),/athlete/minwoo-kim
KyeongPyo,Kim,,Lightweight,1-1-0 (W-L-D),/athlete/kyeongpyo-kim
Ji,Yeon,"""Firefist""",Women's Bantamweight,9-6-2 (W-L-D),/athlete/ji-yeon-kim
Yusaku,Kinoshita,,Welterweight,6-2-0 (W-L-D),/athlete/yusaku-kinoshita
Kamuela,Kirk,"""The Jawaiian""",Featherweight,12-5-0 (W-L-D),/athlete/kamuela-kirk
Top,Noi,"""""Tiger Muay Thai""""",Flyweight,1-1-0 (W-L-D),/athlete/top-kiwram
Ludovit,Klein,"""Mr. Highlight""",Lightweight,19-4-0 (W-L-D),/athlete/ludovit-klein
Felix,Klinkhammer,,Welterweight,0-0-0 (W-L-D),/athlete/felix-klinkhammer
Drakkar,Klose,,Lightweight,13-2-1 (W-L-D),/athlete/drakkar-klose
William,Knight,"""Nightmare""",Light Heavyweight,11-5-0 (W-L-D),/athlete/william-knight
Josefine,Knutsson,,Women's Strawweight,1-0-0 (W-L-D),/athlete/josefine-knutsson
Kaloyan,Kolev,,Light Heavyweight,0-1-0 (W-L-D),/athlete/kaloyan-kolev
Roman,Kopylov,,Middleweight,10-2-0 (W-L-D),/athlete/roman-kopylov
Bruno,Korea,,Flyweight,4-3-0 (W-L-D),/athlete/bruno-korea
Steven,Koslow,"""Obi Won Shinobi The Pillow""",Bantamweight,6-1-0 (W-L-D),/athlete/steven-koslow
Karolina,Kowalkiewicz,,Women's Strawweight,15-7-0 (W-L-D),/athlete/karolina-kowalkiewicz
James,Krause,"""The James Krause""",Welterweight,28-9-0 (W-L-D),/athlete/james-krause
Nikita,Krylov,"""The Miner""",Light Heavyweight,29-9-0 (W-L-D),/athlete/nikita-krylov
Mariusz,Ksiazkiewicz,,Middleweight,0-1-0 (W-L-D),/athlete/mariusz-ksiazkiewicz
Rizvan,Kuniev,,Heavyweight,1-0-0 (W-L-D),/athlete/mario-souza-1
Korey,Kuppe,,Welterweight,8-4-0 (W-L-D),/athlete/korey-kuppe
Guram,Kutateladze,"""Georgian Viking""",Lightweight,12-3-0 (W-L-D),/athlete/guram-kutateladze
Luan,Lacerda,,Bantamweight,12-2-0 (W-L-D),/athlete/luan-lacerda
Yohan,Lainesse,"""White Lion""",Welterweight,9-2-0 (W-L-D),/athlete/nassurdin-imavov-1
Sean,Lally,"""The Unpredictable One""",Welterweight,8-4-0 (W-L-D),/athlete/sean-lally
Nate,Landwehr,"""The Train""",Featherweight,16-4-0 (W-L-D),/athlete/nate-landwehr
Austen,Lane,,Heavyweight,12-3-0 (W-L-D),/athlete/austen-lane
Lina,Lansberg,"""Elbow Queen""",Women's Bantamweight,10-8-0 (W-L-D),/athlete/lina-lansberg
Taylor,Lapilus,"""Double Impact""",Bantamweight,11-2-0 (W-L-D),/athlete/taylor-lapilus
Ilir,Latifi,"""The Sledgehammer""",Heavyweight,17-8-0 (W-L-D),/athlete/ilir-latifi
Joe,Lauzon,,Lightweight,28-16-0 (W-L-D),/athlete/joe-lauzon
Sandra,Lavado,,Women's Strawweight,0-1-0 (W-L-D),/athlete/sandra-lavado
Robbie,Lawler,"""Ruthless""",Welterweight,29-16-0 (W-L-D),/athlete/robbie-lawler
Lance,Lawrence,"""The Tornado""",Featherweight,5-0-0 (W-L-D),/athlete/lance-lawrence
Ronnie,Lawrence,"""The Heat""",Bantamweight,8-2-0 (W-L-D),/athlete/ronnie-lawrence
Jimmy,Lawson,,Heavyweight,0-1-0 (W-L-D),/athlete/jimmy-lawson
Mounir,Lazzez,"""The Sniper""",Welterweight,11-3-0 (W-L-D),/athlete/mounir-lazzez
Thanh,Le,,Featherweight,7-1-0 (W-L-D),/athlete/thanh-le
Jordan,Leavitt,"""The Monkey King""",Lightweight,11-2-0 (W-L-D),/athlete/jordan-leavitt
Kevin,Lee,"""The Motown Phenom""",Welterweight,18-7-0 (W-L-D),/athlete/kevin-lee
JeongYeong,Lee,"""Korean Tiger""",Featherweight,10-1-0 (W-L-D),/athlete/jeongyeong-lee
Andrea,Lee,"""KGB""",Women's Flyweight,13-6-0 (W-L-D),/athlete/andrea-lee
Cheyden,Leialoha,"""Steadfast""",Bantamweight,6-1-0 (W-L-D),/athlete/cheyden-leialoha
Claudia,Leite,,Women's Bantamweight,0-1-0 (W-L-D),/athlete/claudia-leite
Amanda,Lemos,,Women's Strawweight,13-2-1 (W-L-D),/athlete/amanda-lemos
Victoria,Leonardo,"""Fury""",Women's Flyweight,9-5-0 (W-L-D),/athlete/victoria-leonardo
Natan,Levy,,Lightweight,8-1-0 (W-L-D),/athlete/natan-levy
Brandon,Lewis,,Bantamweight,0-2-0 (W-L-D),/athlete/brendon-lyuis
Malik,Lewis,,Lightweight,0-1-0 (W-L-D),/athlete/malik-lewis
Derrick,Lewis,"""The Black Beast""",Heavyweight,26-11-0 (W-L-D),/athlete/derrick-lewis
Rodrigo,Lidio,,Lightweight,0-1-0 (W-L-D),/athlete/rodrigo-lidio
Mabelly,Lima,,Women's Bantamweight,0-0-0 (W-L-D),/athlete/mabelly-lima
Austin,Lingo,"""Lights Out""",Featherweight,9-1-0 (W-L-D),/athlete/austin-lingo
Philipe,Lins,"""Monstro""",Light Heavyweight,16-5-0 (W-L-D),/athlete/philipe-lins
Ariane,Lipski,"""Queen of Violence""",Women's Flyweight,14-8-0 (W-L-D),/athlete/ariane-lipski
Tainara,Lisboa,,Women's Bantamweight,0-0-0 (W-L-D),/athlete/tainara-lisboa
Dylan,Lockard,,Featherweight,0-0-0 (W-L-D),/athlete/dylan-lockard
Christian,Lohsen,,Lightweight,0-0-0 (W-L-D),/athlete/christian-lohsen
Michael,Lombardo,"""The Don""",Welterweight,11-2-0 (W-L-D),/athlete/michael-lombardo
Xiao,Long,,Bantamweight,0-1-0 (W-L-D),/athlete/ksyao-lon
Loma,Lookboonmee,,Women's Strawweight,8-3-0 (W-L-D),/athlete/loma-lookboonmee
Ange,Loosa,,Welterweight,9-3-0 (W-L-D),/athlete/loren-myuller-0
Diego,Lopes,,Featherweight,0-1-0 (W-L-D),/athlete/diego-lopes
Brendan,Loughnane,,Lightweight,16-4-0 (W-L-D),/athlete/brendon-shaub-0
Joseph,Lowry,,Lightweight,7-2-0 (W-L-D),/athlete/joseph-lowry
Iasmin,Lucindo,,Women's Strawweight,13-5-0 (W-L-D),/athlete/iasmin-lucindo
Qiu,Lun,,Flyweight,1-2-0 (W-L-D),/athlete/filipe-lins-1
Vicente,Luque,"""The Silent Assassin""",Welterweight,21-9-1 (W-L-D),/athlete/vicente-luque
Tucker,Lutz,"""Top Gun""",Featherweight,12-2-0 (W-L-D),/athlete/tucker-lutz
Pawan,Maan,,Lightweight,0-1-0 (W-L-D),/athlete/pawan-maan
Veronica,Macedo,,Women's Flyweight,6-4-1 (W-L-D),/athlete/veronica-macedo
Valesca,Machado,"""Tina Black""",Women's Strawweight,0-1-0 (W-L-D),/athlete/norma-dyumont-viana-1
Caio,Machado,,Heavyweight,0-0-0 (W-L-D),/athlete/caio-machado
Ian,Machado,"""The Future""",Welterweight,11-0-0 (W-L-D),/athlete/nassurdin-imavov-4
Pauline,Macias,,Women's Strawweight,0-1-0 (W-L-D),/athlete/pauline-macias
Mark,Madsen,"""The Olympian""",Lightweight,12-1-0 (W-L-D),/athlete/mark-madsen
Neil,Magny,"""The Haitian Sensation""",Welterweight,27-11-0 (W-L-D),/athlete/neil-magny
Shara,Magomedov,,Middleweight,0-0-0 (W-L-D),/athlete/shara-magomedov
Abus,Magomedov,,Middleweight,25-4-1 (W-L-D),/athlete/abner-lloveras-1
Maheshate,,,Lightweight,9-2-0 (W-L-D),/athlete/filipe-lins-3
Nayara,Maia,,Women's Flyweight,0-1-0 (W-L-D),/athlete/nayara-maia
Jennifer,Maia,,Women's Flyweight,20-9-1 (W-L-D),/athlete/jennifer-maia
Roshan,Mainam,,Featherweight,0-0-0 (W-L-D),/athlete/roshan-mainam
John,Makdessi,"""The Bull""",Lightweight,18-8-0 (W-L-D),/athlete/john-makdessi
Islam,Makhachev,,Lightweight,24-1-0 (W-L-D),/athlete/islam-makhachev
Bea,Malecki,,Women's Bantamweight,4-1-0 (W-L-D),/athlete/bea-malecki
Jacob,Malkoun,"""Mamba""",Middleweight,7-2-0 (W-L-D),/athlete/jacob-malkoun
Mike,Malott,"""Proper""",Welterweight,9-1-1 (W-L-D),/athlete/kristof-dzhotko
Nate,Maness,"""Mayhem""",Flyweight,14-3-0 (W-L-D),/athlete/nate-maness
Gary,Mangat,,Flyweight,0-0-0 (W-L-D),/athlete/gary-mangat
Marnic,Mann,"""The Sawed-Off Savage""",Women's Strawweight,0-1-0 (W-L-D),/athlete/marnic-mann
Daniel,Marcos,"""Soncora""",Bantamweight,14-0-0 (W-L-D),/athlete/daniel-marcos
